"rules" "support" "confidence" "coverage" "lift" "count"
"132" "{Wicket_Category=Five_Plus,Team=Zimbabwe} => {Economy_Category=Very_Economic}" 0.01 1 0.01 2.12765957446809 1
"134" "{Decade=-0s,Team=Zimbabwe} => {Economy_Category=Very_Economic}" 0.02 1 0.02 2.12765957446809 2
"136" "{Tournament_Stage=League,Team=Zimbabwe} => {Economy_Category=Very_Economic}" 0.02 1 0.02 2.12765957446809 2
"164" "{Wicket_Category=Four_Wickets,Team=Bangladesh} => {Economy_Category=Very_Economic}" 0.01 1 0.01 2.12765957446809 1
"226" "{Wicket_Category=Four_Wickets,Team=England} => {Economy_Category=Very_Economic}" 0.05 1 0.05 2.12765957446809 5
"267" "{Wicket_Category=Four_Wickets,Team=Pakistan} => {Economy_Category=Very_Economic}" 0.01 1 0.01 2.12765957446809 1
"286" "{Wicket_Category=Four_Wickets,Team=South Africa} => {Economy_Category=Very_Economic}" 0.05 1 0.05 2.12765957446809 5
"306" "{Wicket_Category=Four_Wickets,Team=India} => {Economy_Category=Very_Economic}" 0.04 1 0.04 2.12765957446809 4
"373" "{Wicket_Category=Five_Plus,Decade=-0s,Team=U.A.E.} => {Economy_Category=Very_Economic}" 0.01 1 0.01 2.12765957446809 1
"376" "{Wicket_Category=Five_Plus,Tournament_Stage=League,Team=U.A.E.} => {Economy_Category=Very_Economic}" 0.01 1 0.01 2.12765957446809 1
"379" "{Tournament_Stage=League,Decade=-0s,Team=U.A.E.} => {Economy_Category=Very_Economic}" 0.01 1 0.01 2.12765957446809 1
"409" "{Wicket_Category=Five_Plus,Decade=-0s,Team=Kenya} => {Economy_Category=Very_Economic}" 0.01 1 0.01 2.12765957446809 1
"412" "{Wicket_Category=Five_Plus,Tournament_Stage=League,Team=Kenya} => {Economy_Category=Very_Economic}" 0.01 1 0.01 2.12765957446809 1
"415" "{Tournament_Stage=League,Decade=-0s,Team=Kenya} => {Economy_Category=Very_Economic}" 0.01 1 0.01 2.12765957446809 1
"420" "{Wicket_Category=Four_Wickets,Decade=-0s,Team=Zimbabwe} => {Economy_Category=Very_Economic}" 0.01 1 0.01 2.12765957446809 1
