"rules" "support" "confidence" "coverage" "lift" "count"
"418" "{Tournament_Stage=League,Decade=-0s,Team=Kenya} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"441" "{Economy_Category=Expensive,Decade=-0s,Team=Bangladesh} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"443" "{Economy_Category=Expensive,Tournament_Stage=League,Team=Bangladesh} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"447" "{Economy_Category=Expensive,Decade=-0s,Team=Sri Lanka} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"449" "{Economy_Category=Expensive,Tournament_Stage=League,Team=Sri Lanka} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"453" "{Economy_Category=Expensive,Decade=-0s,Team=England} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"455" "{Economy_Category=Expensive,Tournament_Stage=League,Team=England} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"459" "{Economy_Category=Expensive,Decade=-0s,Team=India} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"461" "{Economy_Category=Expensive,Tournament_Stage=League,Team=India} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"466" "{Economy_Category=Expensive,Tournament_Stage=League,Decade=-0s} => {Wicket_Category=Five_Plus}" 0.04 1 0.04 1.40845070422535 4
"468" "{Economy_Category=Moderate,Decade=-0s,Team=Bangladesh} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"470" "{Economy_Category=Moderate,Tournament_Stage=League,Team=Bangladesh} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"492" "{Economy_Category=Moderate,Decade=-0s,Team=Sri Lanka} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"494" "{Economy_Category=Moderate,Tournament_Stage=League,Team=Sri Lanka} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"526" "{Economy_Category=Moderate,Decade=-0s,Team=West Indies} => {Wicket_Category=Five_Plus}" 0.02 1 0.02 1.40845070422535 2
"528" "{Economy_Category=Moderate,Tournament_Stage=League,Team=West Indies} => {Wicket_Category=Five_Plus}" 0.02 1 0.02 1.40845070422535 2
"558" "{Economy_Category=Moderate,Decade=-0s,Team=England} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"560" "{Economy_Category=Moderate,Tournament_Stage=League,Team=England} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"573" "{Economy_Category=Economic,Decade=-0s,Team=England} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"575" "{Economy_Category=Economic,Tournament_Stage=League,Team=England} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"584" "{Economy_Category=Moderate,Decade=-0s,Team=New Zealand} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"586" "{Economy_Category=Moderate,Tournament_Stage=League,Team=New Zealand} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"616" "{Economy_Category=Moderate,Decade=-0s,Team=Pakistan} => {Wicket_Category=Five_Plus}" 0.03 1 0.03 1.40845070422535 3
"618" "{Economy_Category=Moderate,Tournament_Stage=League,Team=Pakistan} => {Wicket_Category=Five_Plus}" 0.03 1 0.03 1.40845070422535 3
"628" "{Economy_Category=Economic,Decade=-0s,Team=Pakistan} => {Wicket_Category=Five_Plus}" 0.05 1 0.05 1.40845070422535 5
"631" "{Economy_Category=Economic,Tournament_Stage=League,Team=Pakistan} => {Wicket_Category=Five_Plus}" 0.05 1 0.05 1.40845070422535 5
"645" "{Economy_Category=Moderate,Decade=-0s,Team=South Africa} => {Wicket_Category=Five_Plus}" 0.03 1 0.03 1.40845070422535 3
"647" "{Economy_Category=Moderate,Tournament_Stage=League,Team=South Africa} => {Wicket_Category=Five_Plus}" 0.03 1 0.03 1.40845070422535 3
"659" "{Economy_Category=Economic,Decade=-0s,Team=South Africa} => {Wicket_Category=Five_Plus}" 0.02 1 0.02 1.40845070422535 2
"661" "{Economy_Category=Economic,Tournament_Stage=League,Team=South Africa} => {Wicket_Category=Five_Plus}" 0.02 1 0.02 1.40845070422535 2
"673" "{Economy_Category=Moderate,Decade=-0s,Team=India} => {Wicket_Category=Five_Plus}" 0.02 1 0.02 1.40845070422535 2
"675" "{Economy_Category=Moderate,Tournament_Stage=League,Team=India} => {Wicket_Category=Five_Plus}" 0.02 1 0.02 1.40845070422535 2
"687" "{Economy_Category=Economic,Decade=-0s,Team=India} => {Wicket_Category=Five_Plus}" 0.05 1 0.05 1.40845070422535 5
"690" "{Economy_Category=Economic,Tournament_Stage=League,Team=India} => {Wicket_Category=Five_Plus}" 0.05 1 0.05 1.40845070422535 5
"702" "{Economy_Category=Moderate,Decade=-0s,Team=Australia} => {Wicket_Category=Five_Plus}" 0.02 1 0.02 1.40845070422535 2
"704" "{Economy_Category=Moderate,Tournament_Stage=League,Team=Australia} => {Wicket_Category=Five_Plus}" 0.02 1 0.02 1.40845070422535 2
"709" "{Economy_Category=Moderate,Tournament_Stage=League,Decade=-0s} => {Wicket_Category=Five_Plus}" 0.16 1 0.16 1.40845070422535 16
"747" "{Economy_Category=Very_Economic,Tournament_Stage=League,Decade=-0s,Team=U.A.E.} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"751" "{Economy_Category=Economic,Tournament_Stage=League,Decade=-0s,Team=Namibia} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"755" "{Economy_Category=Economic,Tournament_Stage=League,Decade=-0s,Team=Canada} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"759" "{Economy_Category=Very_Economic,Tournament_Stage=League,Decade=-0s,Team=Kenya} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"771" "{Economy_Category=Expensive,Tournament_Stage=League,Decade=-0s,Team=Bangladesh} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"774" "{Economy_Category=Expensive,Tournament_Stage=League,Decade=-0s,Team=Sri Lanka} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"777" "{Economy_Category=Expensive,Tournament_Stage=League,Decade=-0s,Team=England} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"780" "{Economy_Category=Expensive,Tournament_Stage=League,Decade=-0s,Team=India} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"783" "{Economy_Category=Moderate,Tournament_Stage=League,Decade=-0s,Team=Bangladesh} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"793" "{Economy_Category=Moderate,Tournament_Stage=League,Decade=-0s,Team=Sri Lanka} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"809" "{Economy_Category=Moderate,Tournament_Stage=League,Decade=-0s,Team=West Indies} => {Wicket_Category=Five_Plus}" 0.02 1 0.02 1.40845070422535 2
"823" "{Economy_Category=Moderate,Tournament_Stage=League,Decade=-0s,Team=England} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"830" "{Economy_Category=Economic,Tournament_Stage=League,Decade=-0s,Team=England} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"833" "{Economy_Category=Moderate,Tournament_Stage=League,Decade=-0s,Team=New Zealand} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"848" "{Economy_Category=Moderate,Tournament_Stage=League,Decade=-0s,Team=Pakistan} => {Wicket_Category=Five_Plus}" 0.03 1 0.03 1.40845070422535 3
"854" "{Economy_Category=Economic,Tournament_Stage=League,Decade=-0s,Team=Pakistan} => {Wicket_Category=Five_Plus}" 0.05 1 0.05 1.40845070422535 5
"861" "{Economy_Category=Moderate,Tournament_Stage=League,Decade=-0s,Team=South Africa} => {Wicket_Category=Five_Plus}" 0.03 1 0.03 1.40845070422535 3
"868" "{Economy_Category=Economic,Tournament_Stage=League,Decade=-0s,Team=South Africa} => {Wicket_Category=Five_Plus}" 0.02 1 0.02 1.40845070422535 2
"873" "{Economy_Category=Moderate,Tournament_Stage=League,Decade=-0s,Team=India} => {Wicket_Category=Five_Plus}" 0.02 1 0.02 1.40845070422535 2
"880" "{Economy_Category=Economic,Tournament_Stage=League,Decade=-0s,Team=India} => {Wicket_Category=Five_Plus}" 0.05 1 0.05 1.40845070422535 5
"886" "{Economy_Category=Moderate,Tournament_Stage=League,Decade=-0s,Team=Australia} => {Wicket_Category=Five_Plus}" 0.02 1 0.02 1.40845070422535 2
"38" "{Team=England} => {Economy_Category=Very_Economic}" 0.05 0.625 0.08 1.32978723404255 5
"236" "{Decade=-0s,Team=England} => {Economy_Category=Very_Economic}" 0.05 0.625 0.08 1.32978723404255 5
"238" "{Tournament_Stage=League,Team=England} => {Economy_Category=Very_Economic}" 0.05 0.625 0.08 1.32978723404255 5
"580" "{Tournament_Stage=League,Decade=-0s,Team=England} => {Economy_Category=Very_Economic}" 0.05 0.625 0.08 1.32978723404255 5
"45" "{Team=Pakistan} => {Wicket_Category=Five_Plus}" 0.1 0.909090909090909 0.11 1.28040973111396 10
"278" "{Decade=-0s,Team=Pakistan} => {Wicket_Category=Five_Plus}" 0.1 0.909090909090909 0.11 1.28040973111396 10
"280" "{Tournament_Stage=League,Team=Pakistan} => {Wicket_Category=Five_Plus}" 0.1 0.909090909090909 0.11 1.28040973111396 10
"643" "{Tournament_Stage=League,Decade=-0s,Team=Pakistan} => {Wicket_Category=Five_Plus}" 0.1 0.909090909090909 0.11 1.28040973111396 10
"48" "{Team=South Africa} => {Economy_Category=Very_Economic}" 0.07 0.583333333333333 0.12 1.24113475177305 7
"294" "{Decade=-0s,Team=South Africa} => {Economy_Category=Very_Economic}" 0.07 0.583333333333333 0.12 1.24113475177305 7
"296" "{Tournament_Stage=League,Team=South Africa} => {Economy_Category=Very_Economic}" 0.07 0.583333333333333 0.12 1.24113475177305 7
"668" "{Tournament_Stage=League,Decade=-0s,Team=South Africa} => {Economy_Category=Very_Economic}" 0.07 0.583333333333333 0.12 1.24113475177305 7
"66" "{Economy_Category=Economic} => {Wicket_Category=Five_Plus}" 0.29 0.878787878787879 0.33 1.23772940674349 29
"359" "{Economy_Category=Economic,Decade=-0s} => {Wicket_Category=Five_Plus}" 0.29 0.878787878787879 0.33 1.23772940674349 29
"361" "{Economy_Category=Economic,Tournament_Stage=League} => {Wicket_Category=Five_Plus}" 0.29 0.878787878787879 0.33 1.23772940674349 29
"742" "{Economy_Category=Economic,Tournament_Stage=League,Decade=-0s} => {Wicket_Category=Five_Plus}" 0.29 0.878787878787879 0.33 1.23772940674349 29
"334" "{Economy_Category=Economic,Team=Australia} => {Wicket_Category=Five_Plus}" 0.07 0.875 0.08 1.23239436619718 7
"719" "{Economy_Category=Economic,Decade=-0s,Team=Australia} => {Wicket_Category=Five_Plus}" 0.07 0.875 0.08 1.23239436619718 7
"721" "{Economy_Category=Economic,Tournament_Stage=League,Team=Australia} => {Wicket_Category=Five_Plus}" 0.07 0.875 0.08 1.23239436619718 7
"894" "{Economy_Category=Economic,Tournament_Stage=League,Decade=-0s,Team=Australia} => {Wicket_Category=Five_Plus}" 0.07 0.875 0.08 1.23239436619718 7
"41" "{Team=New Zealand} => {Economy_Category=Very_Economic}" 0.05 0.555555555555556 0.09 1.18203309692671 5
"255" "{Decade=-0s,Team=New Zealand} => {Economy_Category=Very_Economic}" 0.05 0.555555555555556 0.09 1.18203309692671 5
"257" "{Tournament_Stage=League,Team=New Zealand} => {Economy_Category=Very_Economic}" 0.05 0.555555555555556 0.09 1.18203309692671 5
"611" "{Tournament_Stage=League,Decade=-0s,Team=New Zealand} => {Economy_Category=Very_Economic}" 0.05 0.555555555555556 0.09 1.18203309692671 5
"59" "{Team=Australia} => {Wicket_Category=Five_Plus}" 0.16 0.8 0.2 1.12676056338028 16
"209" "{Economy_Category=Economic,Team=West Indies} => {Wicket_Category=Five_Plus}" 0.04 0.8 0.05 1.12676056338028 4
"343" "{Decade=-0s,Team=Australia} => {Wicket_Category=Five_Plus}" 0.16 0.8 0.2 1.12676056338028 16
"345" "{Tournament_Stage=League,Team=Australia} => {Wicket_Category=Five_Plus}" 0.16 0.8 0.2 1.12676056338028 16
"544" "{Economy_Category=Economic,Decade=-0s,Team=West Indies} => {Wicket_Category=Five_Plus}" 0.04 0.8 0.05 1.12676056338028 4
"547" "{Economy_Category=Economic,Tournament_Stage=League,Team=West Indies} => {Wicket_Category=Five_Plus}" 0.04 0.8 0.05 1.12676056338028 4
"733" "{Tournament_Stage=League,Decade=-0s,Team=Australia} => {Wicket_Category=Five_Plus}" 0.16 0.8 0.2 1.12676056338028 16
"819" "{Economy_Category=Economic,Tournament_Stage=League,Decade=-0s,Team=West Indies} => {Wicket_Category=Five_Plus}" 0.04 0.8 0.05 1.12676056338028 4
"25" "{Team=Bangladesh} => {Economy_Category=Very_Economic}" 0.02 0.5 0.04 1.06382978723404 2
"29" "{Team=Sri Lanka} => {Economy_Category=Very_Economic}" 0.04 0.5 0.08 1.06382978723404 4
"58" "{Team=Australia} => {Economy_Category=Very_Economic}" 0.1 0.5 0.2 1.06382978723404 10
"170" "{Decade=-0s,Team=Bangladesh} => {Economy_Category=Very_Economic}" 0.02 0.5 0.04 1.06382978723404 2
"172" "{Tournament_Stage=League,Team=Bangladesh} => {Economy_Category=Very_Economic}" 0.02 0.5 0.04 1.06382978723404 2
"192" "{Decade=-0s,Team=Sri Lanka} => {Economy_Category=Very_Economic}" 0.04 0.5 0.08 1.06382978723404 4
"194" "{Tournament_Stage=League,Team=Sri Lanka} => {Economy_Category=Very_Economic}" 0.04 0.5 0.08 1.06382978723404 4
"205" "{Wicket_Category=Four_Wickets,Team=West Indies} => {Economy_Category=Very_Economic}" 0.01 0.5 0.02 1.06382978723404 1
"253" "{Wicket_Category=Five_Plus,Team=New Zealand} => {Economy_Category=Very_Economic}" 0.03 0.5 0.06 1.06382978723404 3
"339" "{Decade=-0s,Team=Australia} => {Economy_Category=Very_Economic}" 0.1 0.5 0.2 1.06382978723404 10
"341" "{Tournament_Stage=League,Team=Australia} => {Economy_Category=Very_Economic}" 0.1 0.5 0.2 1.06382978723404 10
"487" "{Tournament_Stage=League,Decade=-0s,Team=Bangladesh} => {Economy_Category=Very_Economic}" 0.02 0.5 0.04 1.06382978723404 2
"521" "{Tournament_Stage=League,Decade=-0s,Team=Sri Lanka} => {Economy_Category=Very_Economic}" 0.04 0.5 0.08 1.06382978723404 4
"536" "{Wicket_Category=Four_Wickets,Decade=-0s,Team=West Indies} => {Economy_Category=Very_Economic}" 0.01 0.5 0.02 1.06382978723404 1
"539" "{Wicket_Category=Four_Wickets,Tournament_Stage=League,Team=West Indies} => {Economy_Category=Very_Economic}" 0.01 0.5 0.02 1.06382978723404 1
"605" "{Wicket_Category=Five_Plus,Decade=-0s,Team=New Zealand} => {Economy_Category=Very_Economic}" 0.03 0.5 0.06 1.06382978723404 3
"608" "{Wicket_Category=Five_Plus,Tournament_Stage=League,Team=New Zealand} => {Economy_Category=Very_Economic}" 0.03 0.5 0.06 1.06382978723404 3
"730" "{Tournament_Stage=League,Decade=-0s,Team=Australia} => {Economy_Category=Very_Economic}" 0.1 0.5 0.2 1.06382978723404 10
"815" "{Wicket_Category=Four_Wickets,Tournament_Stage=League,Decade=-0s,Team=West Indies} => {Economy_Category=Very_Economic}" 0.01 0.5 0.02 1.06382978723404 1
"845" "{Wicket_Category=Five_Plus,Tournament_Stage=League,Decade=-0s,Team=New Zealand} => {Economy_Category=Very_Economic}" 0.03 0.5 0.06 1.06382978723404 3
"26" "{Team=Bangladesh} => {Wicket_Category=Five_Plus}" 0.03 0.75 0.04 1.05633802816901 3
"34" "{Team=West Indies} => {Wicket_Category=Five_Plus}" 0.06 0.75 0.08 1.05633802816901 6
"174" "{Decade=-0s,Team=Bangladesh} => {Wicket_Category=Five_Plus}" 0.03 0.75 0.04 1.05633802816901 3
"176" "{Tournament_Stage=League,Team=Bangladesh} => {Wicket_Category=Five_Plus}" 0.03 0.75 0.04 1.05633802816901 3
"218" "{Decade=-0s,Team=West Indies} => {Wicket_Category=Five_Plus}" 0.06 0.75 0.08 1.05633802816901 6
"220" "{Tournament_Stage=League,Team=West Indies} => {Wicket_Category=Five_Plus}" 0.06 0.75 0.08 1.05633802816901 6
"490" "{Tournament_Stage=League,Decade=-0s,Team=Bangladesh} => {Wicket_Category=Five_Plus}" 0.03 0.75 0.04 1.05633802816901 3
"556" "{Tournament_Stage=League,Decade=-0s,Team=West Indies} => {Wicket_Category=Five_Plus}" 0.06 0.75 0.08 1.05633802816901 6
"52" "{Team=India} => {Wicket_Category=Five_Plus}" 0.1 0.714285714285714 0.14 1.00603621730382 10
"317" "{Decade=-0s,Team=India} => {Wicket_Category=Five_Plus}" 0.1 0.714285714285714 0.14 1.00603621730382 10
"319" "{Tournament_Stage=League,Team=India} => {Wicket_Category=Five_Plus}" 0.1 0.714285714285714 0.14 1.00603621730382 10
"700" "{Tournament_Stage=League,Decade=-0s,Team=India} => {Wicket_Category=Five_Plus}" 0.1 0.714285714285714 0.14 1.00603621730382 10
"3" "{Team=U.A.E.} => {Decade=-0s}" 0.01 1 0.01 1 1
"4" "{Team=U.A.E.} => {Tournament_Stage=League}" 0.01 1 0.01 1 1
"7" "{Team=Namibia} => {Decade=-0s}" 0.01 1 0.01 1 1
"8" "{Team=Namibia} => {Tournament_Stage=League}" 0.01 1 0.01 1 1
"11" "{Team=Canada} => {Decade=-0s}" 0.01 1 0.01 1 1
"12" "{Team=Canada} => {Tournament_Stage=League}" 0.01 1 0.01 1 1
"15" "{Team=Kenya} => {Decade=-0s}" 0.01 1 0.01 1 1
"16" "{Team=Kenya} => {Tournament_Stage=League}" 0.01 1 0.01 1 1
"20" "{Team=Zimbabwe} => {Decade=-0s}" 0.02 1 0.02 1 2
"21" "{Team=Zimbabwe} => {Tournament_Stage=League}" 0.02 1 0.02 1 2
"23" "{Economy_Category=Expensive} => {Decade=-0s}" 0.04 1 0.04 1 4
"24" "{Economy_Category=Expensive} => {Tournament_Stage=League}" 0.04 1 0.04 1 4
"27" "{Team=Bangladesh} => {Decade=-0s}" 0.04 1 0.04 1 4
"28" "{Team=Bangladesh} => {Tournament_Stage=League}" 0.04 1 0.04 1 4
"31" "{Team=Sri Lanka} => {Decade=-0s}" 0.08 1 0.08 1 8
"32" "{Team=Sri Lanka} => {Tournament_Stage=League}" 0.08 1 0.08 1 8
"35" "{Team=West Indies} => {Decade=-0s}" 0.08 1 0.08 1 8
"36" "{Team=West Indies} => {Tournament_Stage=League}" 0.08 1 0.08 1 8
"39" "{Team=England} => {Decade=-0s}" 0.08 1 0.08 1 8
"40" "{Team=England} => {Tournament_Stage=League}" 0.08 1 0.08 1 8
"43" "{Team=New Zealand} => {Decade=-0s}" 0.09 1 0.09 1 9
"44" "{Team=New Zealand} => {Tournament_Stage=League}" 0.09 1 0.09 1 9
"46" "{Team=Pakistan} => {Decade=-0s}" 0.11 1 0.11 1 11
"47" "{Team=Pakistan} => {Tournament_Stage=League}" 0.11 1 0.11 1 11
"50" "{Team=South Africa} => {Decade=-0s}" 0.12 1 0.12 1 12
"51" "{Team=South Africa} => {Tournament_Stage=League}" 0.12 1 0.12 1 12
"53" "{Team=India} => {Decade=-0s}" 0.14 1 0.14 1 14
"54" "{Team=India} => {Tournament_Stage=League}" 0.14 1 0.14 1 14
"56" "{Economy_Category=Moderate} => {Decade=-0s}" 0.16 1 0.16 1 16
"57" "{Economy_Category=Moderate} => {Tournament_Stage=League}" 0.16 1 0.16 1 16
"60" "{Team=Australia} => {Decade=-0s}" 0.2 1 0.2 1 20
"61" "{Team=Australia} => {Tournament_Stage=League}" 0.2 1 0.2 1 20
"64" "{Wicket_Category=Four_Wickets} => {Decade=-0s}" 0.29 1 0.29 1 29
"65" "{Wicket_Category=Four_Wickets} => {Tournament_Stage=League}" 0.29 1 0.29 1 29
"67" "{Economy_Category=Economic} => {Decade=-0s}" 0.33 1 0.33 1 33
"68" "{Economy_Category=Economic} => {Tournament_Stage=League}" 0.33 1 0.33 1 33
"69" "{Economy_Category=Very_Economic} => {Decade=-0s}" 0.47 1 0.47 1 47
"70" "{Economy_Category=Very_Economic} => {Tournament_Stage=League}" 0.47 1 0.47 1 47
"71" "{Wicket_Category=Five_Plus} => {Decade=-0s}" 0.71 1 0.71 1 71
"72" "{Decade=-0s} => {Wicket_Category=Five_Plus}" 0.71 0.71 1 1 71
"73" "{Wicket_Category=Five_Plus} => {Tournament_Stage=League}" 0.71 1 0.71 1 71
"74" "{Tournament_Stage=League} => {Wicket_Category=Five_Plus}" 0.71 0.71 1 1 71
"75" "{Decade=-0s} => {Tournament_Stage=League}" 1 1 1 1 100
"76" "{Tournament_Stage=League} => {Decade=-0s}" 1 1 1 1 100
"79" "{Economy_Category=Very_Economic,Team=U.A.E.} => {Decade=-0s}" 0.01 1 0.01 1 1
"81" "{Economy_Category=Very_Economic,Team=U.A.E.} => {Tournament_Stage=League}" 0.01 1 0.01 1 1
"83" "{Wicket_Category=Five_Plus,Team=U.A.E.} => {Decade=-0s}" 0.01 1 0.01 1 1
"85" "{Wicket_Category=Five_Plus,Team=U.A.E.} => {Tournament_Stage=League}" 0.01 1 0.01 1 1
"87" "{Decade=-0s,Team=U.A.E.} => {Tournament_Stage=League}" 0.01 1 0.01 1 1
"88" "{Tournament_Stage=League,Team=U.A.E.} => {Decade=-0s}" 0.01 1 0.01 1 1
"91" "{Economy_Category=Economic,Team=Namibia} => {Decade=-0s}" 0.01 1 0.01 1 1
"93" "{Economy_Category=Economic,Team=Namibia} => {Tournament_Stage=League}" 0.01 1 0.01 1 1
"95" "{Wicket_Category=Five_Plus,Team=Namibia} => {Decade=-0s}" 0.01 1 0.01 1 1
"97" "{Wicket_Category=Five_Plus,Team=Namibia} => {Tournament_Stage=League}" 0.01 1 0.01 1 1
"99" "{Decade=-0s,Team=Namibia} => {Tournament_Stage=League}" 0.01 1 0.01 1 1
"100" "{Tournament_Stage=League,Team=Namibia} => {Decade=-0s}" 0.01 1 0.01 1 1
"103" "{Economy_Category=Economic,Team=Canada} => {Decade=-0s}" 0.01 1 0.01 1 1
"105" "{Economy_Category=Economic,Team=Canada} => {Tournament_Stage=League}" 0.01 1 0.01 1 1
"107" "{Wicket_Category=Five_Plus,Team=Canada} => {Decade=-0s}" 0.01 1 0.01 1 1
"109" "{Wicket_Category=Five_Plus,Team=Canada} => {Tournament_Stage=League}" 0.01 1 0.01 1 1
"111" "{Decade=-0s,Team=Canada} => {Tournament_Stage=League}" 0.01 1 0.01 1 1
"112" "{Tournament_Stage=League,Team=Canada} => {Decade=-0s}" 0.01 1 0.01 1 1
"115" "{Economy_Category=Very_Economic,Team=Kenya} => {Decade=-0s}" 0.01 1 0.01 1 1
"117" "{Economy_Category=Very_Economic,Team=Kenya} => {Tournament_Stage=League}" 0.01 1 0.01 1 1
"119" "{Wicket_Category=Five_Plus,Team=Kenya} => {Decade=-0s}" 0.01 1 0.01 1 1
"121" "{Wicket_Category=Five_Plus,Team=Kenya} => {Tournament_Stage=League}" 0.01 1 0.01 1 1
"123" "{Decade=-0s,Team=Kenya} => {Tournament_Stage=League}" 0.01 1 0.01 1 1
"124" "{Tournament_Stage=League,Team=Kenya} => {Decade=-0s}" 0.01 1 0.01 1 1
"127" "{Wicket_Category=Four_Wickets,Team=Zimbabwe} => {Decade=-0s}" 0.01 1 0.01 1 1
"129" "{Wicket_Category=Four_Wickets,Team=Zimbabwe} => {Tournament_Stage=League}" 0.01 1 0.01 1 1
"133" "{Economy_Category=Very_Economic,Team=Zimbabwe} => {Decade=-0s}" 0.02 1 0.02 1 2
"135" "{Economy_Category=Very_Economic,Team=Zimbabwe} => {Tournament_Stage=League}" 0.02 1 0.02 1 2
"137" "{Wicket_Category=Five_Plus,Team=Zimbabwe} => {Decade=-0s}" 0.01 1 0.01 1 1
"139" "{Wicket_Category=Five_Plus,Team=Zimbabwe} => {Tournament_Stage=League}" 0.01 1 0.01 1 1
"141" "{Decade=-0s,Team=Zimbabwe} => {Tournament_Stage=League}" 0.02 1 0.02 1 2
"142" "{Tournament_Stage=League,Team=Zimbabwe} => {Decade=-0s}" 0.02 1 0.02 1 2
"144" "{Economy_Category=Expensive,Team=Bangladesh} => {Decade=-0s}" 0.01 1 0.01 1 1
"145" "{Economy_Category=Expensive,Team=Bangladesh} => {Tournament_Stage=League}" 0.01 1 0.01 1 1
"147" "{Economy_Category=Expensive,Team=Sri Lanka} => {Decade=-0s}" 0.01 1 0.01 1 1
"148" "{Economy_Category=Expensive,Team=Sri Lanka} => {Tournament_Stage=League}" 0.01 1 0.01 1 1
"150" "{Economy_Category=Expensive,Team=England} => {Decade=-0s}" 0.01 1 0.01 1 1
"151" "{Economy_Category=Expensive,Team=England} => {Tournament_Stage=League}" 0.01 1 0.01 1 1
"153" "{Economy_Category=Expensive,Team=India} => {Decade=-0s}" 0.01 1 0.01 1 1
"154" "{Economy_Category=Expensive,Team=India} => {Tournament_Stage=League}" 0.01 1 0.01 1 1
"155" "{Economy_Category=Expensive,Wicket_Category=Five_Plus} => {Decade=-0s}" 0.04 1 0.04 1 4
"157" "{Economy_Category=Expensive,Wicket_Category=Five_Plus} => {Tournament_Stage=League}" 0.04 1 0.04 1 4
"159" "{Economy_Category=Expensive,Decade=-0s} => {Tournament_Stage=League}" 0.04 1 0.04 1 4
"160" "{Economy_Category=Expensive,Tournament_Stage=League} => {Decade=-0s}" 0.04 1 0.04 1 4
"162" "{Economy_Category=Moderate,Team=Bangladesh} => {Decade=-0s}" 0.01 1 0.01 1 1
"163" "{Economy_Category=Moderate,Team=Bangladesh} => {Tournament_Stage=League}" 0.01 1 0.01 1 1
"166" "{Wicket_Category=Four_Wickets,Team=Bangladesh} => {Decade=-0s}" 0.01 1 0.01 1 1
"167" "{Wicket_Category=Four_Wickets,Team=Bangladesh} => {Tournament_Stage=League}" 0.01 1 0.01 1 1
"169" "{Economy_Category=Very_Economic,Team=Bangladesh} => {Decade=-0s}" 0.02 1 0.02 1 2
"171" "{Economy_Category=Very_Economic,Team=Bangladesh} => {Tournament_Stage=League}" 0.02 1 0.02 1 2
"173" "{Wicket_Category=Five_Plus,Team=Bangladesh} => {Decade=-0s}" 0.03 1 0.03 1 3
"175" "{Wicket_Category=Five_Plus,Team=Bangladesh} => {Tournament_Stage=League}" 0.03 1 0.03 1 3
"177" "{Decade=-0s,Team=Bangladesh} => {Tournament_Stage=League}" 0.04 1 0.04 1 4
"178" "{Tournament_Stage=League,Team=Bangladesh} => {Decade=-0s}" 0.04 1 0.04 1 4
"180" "{Economy_Category=Moderate,Team=Sri Lanka} => {Decade=-0s}" 0.01 1 0.01 1 1
"181" "{Economy_Category=Moderate,Team=Sri Lanka} => {Tournament_Stage=League}" 0.01 1 0.01 1 1
"185" "{Wicket_Category=Four_Wickets,Team=Sri Lanka} => {Decade=-0s}" 0.03 1 0.03 1 3
"186" "{Wicket_Category=Four_Wickets,Team=Sri Lanka} => {Tournament_Stage=League}" 0.03 1 0.03 1 3
"188" "{Economy_Category=Economic,Team=Sri Lanka} => {Decade=-0s}" 0.02 1 0.02 1 2
"189" "{Economy_Category=Economic,Team=Sri Lanka} => {Tournament_Stage=League}" 0.02 1 0.02 1 2
"191" "{Economy_Category=Very_Economic,Team=Sri Lanka} => {Decade=-0s}" 0.04 1 0.04 1 4
